This file was created using the 202206 Bloomberg database.

Missing data are indicated by -99.99.



,WML
19920115    ,0.00
19920116   ,-0.22
19920117   ,-0.09
19920120   ,-0.64
19920121   ,-0.36
19920122   ,-0.18
19920123   ,-0.44
19920124   ,-0.21
19920127   ,-0.13
19920128    ,0.35
19920129   ,-0.04
19920130    ,0.02
19920131   ,-0.22
19920203   ,-0.49
19920204   ,-0.07
19920205   ,-0.55
19920206   ,-0.24
19920207    ,0.31
19920210    ,0.27
19920211    ,0.00
19920212    ,0.22
19920213   ,-0.17
19920214    ,0.26
19920217    ,0.24
19920218   ,-0.44
19920219   ,-0.06
19920220    ,0.29
19920221    ,0.32
19920224    ,0.20
19920225    ,0.17
19920226   ,-0.05
19920227    ,0.00
19920228    ,0.28
19920302    ,0.45
19920303    ,0.25
19920304    ,0.27
19920305    ,0.40
19920306    ,0.65
19920309    ,0.45
19920310    ,0.36
19920311    ,0.52
19920312   ,-0.20
19920313    ,0.02
19920316   ,-0.14
19920317    ,1.06
19920318    ,0.83
19920319   ,-0.36
19920320    ,0.01
19920323   ,-0.62
19920324    ,0.51
19920325    ,0.05
19920326   ,-0.72
19920327    ,0.12
19920330   ,-0.08
19920331   ,-0.43
19920401    ,0.79
19920402    ,0.99
19920403    ,0.68
19920406   ,-0.73
19920407    ,0.04
19920408    ,0.57
19920409   ,-0.70
19920410   ,-0.76
19920413   ,-0.47
19920414    ,0.48
19920415   ,-0.76
19920416   ,-1.32
19920417   ,-0.33
19920420    ,0.41
19920421   ,-0.09
19920422    ,0.08
19920423   ,-0.39
19920424    ,0.30
19920427   ,-0.36
19920428   ,-0.01
19920429   ,-0.01
19920430    ,0.09
19920501   ,-0.28
19920504    ,0.00
19920505    ,0.00
19920506   ,-0.09
19920507   ,-1.40
19920508   ,-0.01
19920511   ,-0.61
19920512   ,-1.21
19920513    ,0.13
19920514    ,0.02
19920515    ,0.96
19920518   ,-0.55
19920519   ,-0.36
19920520   ,-0.12
19920521    ,0.10
19920522    ,0.50
19920525   ,-0.51
19920526    ,0.13
19920527    ,0.32
19920528   ,-0.18
19920529   ,-0.39
19920601    ,0.00
19920602   ,-0.23
19920603    ,0.06
19920604    ,0.57
19920605    ,0.17
19920608    ,0.17
19920609    ,0.32
19920610   ,-0.15
19920611    ,0.64
19920612    ,0.45
19920615    ,0.11
19920616   ,-0.34
19920617    ,0.26
19920618    ,1.33
19920619    ,0.04
19920622    ,0.37
19920623    ,0.06
19920624    ,0.10
19920625   ,-0.23
19920626    ,0.49
19920629   ,-0.13
19920630   ,-0.86
19920701   ,-0.93
19920702   ,-0.06
19920703   ,-0.47
19920706    ,0.07
19920707   ,-0.06
19920708    ,0.34
19920709   ,-0.20
19920710   ,-0.08
19920713   ,-0.19
19920714   ,-0.02
19920715    ,0.07
19920716    ,0.09
19920717    ,0.35
19920720    ,0.16
19920721    ,0.27
19920722    ,0.53
19920723   ,-0.30
19920724    ,0.23
19920727   ,-0.22
19920728   ,-0.29
19920729   ,-0.79
19920730   ,-0.40
19920731    ,0.15
19920803   ,-0.09
19920804    ,0.07
19920805   ,-0.34
19920806   ,-0.63
19920807   ,-0.32
19920810    ,0.39
19920811   ,-0.45
19920812   ,-0.89
19920813    ,0.70
19920814    ,0.59
19920817    ,0.13
19920818   ,-0.06
19920819   ,-0.43
19920820   ,-1.58
19920821   ,-3.39
19920824   ,-3.07
19920825    ,0.52
19920826    ,0.58
19920827   ,-1.82
19920828   ,-1.40
19920831   ,-1.22
19920901   ,-0.60
19920902    ,1.04
19920903   ,-0.83
19920904   ,-1.35
19920907   ,-0.11
19920908    ,0.97
19920909   ,-0.12
19920910   ,-0.68
19920911    ,0.63
19920914   ,-0.06
19920915    ,0.01
19920916    ,1.63
19920917    ,0.68
19920918    ,0.17
19920921   ,-0.49
19920922   ,-0.15
19920923    ,0.00
19920924   ,-0.72
19920925    ,0.22
19920928    ,0.28
19920929    ,0.34
19920930    ,0.83
19921001    ,0.89
19921002   ,-0.06
19921005    ,0.01
19921006    ,0.25
19921007    ,0.23
19921008    ,0.36
19921009    ,0.13
19921012   ,-0.05
19921013    ,0.07
19921014   ,-0.02
19921015    ,0.48
19921016   ,-0.01
19921019    ,0.45
19921020    ,0.45
19921021   ,-0.21
19921022    ,0.16
19921023    ,0.25
19921026    ,0.18
19921027    ,0.10
19921028    ,0.35
19921029    ,0.15
19921030    ,0.35
19921102   ,-0.31
19921103    ,0.02
19921104    ,0.22
19921105    ,0.40
19921106    ,0.01
19921109    ,0.37
19921110    ,0.20
19921111    ,0.27
19921112    ,0.49
19921113    ,0.30
19921116   ,-0.23
19921117    ,0.60
19921118   ,-0.70
19921119   ,-0.33
19921120    ,0.41
19921123    ,0.01
19921124   ,-0.12
19921125   ,-0.34
19921126   ,-0.48
19921127    ,0.31
19921130   ,-0.85
19921201   ,-0.20
19921202    ,0.36
19921203   ,-0.02
19921204    ,0.44
19921207   ,-0.11
19921208    ,0.21
19921209   ,-0.48
19921210   ,-0.90
19921211   ,-0.36
19921214    ,0.28
19921215    ,0.19
19921216    ,0.46
19921217   ,-0.17
19921218   ,-0.31
19921221    ,0.04
19921222    ,0.24
19921223    ,0.00
19921224   ,-0.07
19921225   ,-0.04
19921228   ,-0.03
19921229    ,0.07
19921230    ,0.46
19921231    ,0.00
19930101    ,0.00
19930104   ,-0.22
19930105    ,0.18
19930106    ,0.25
19930107   ,-0.06
19930108    ,0.09
19930111   ,-0.34
19930112   ,-0.03
19930113    ,0.25
19930114    ,0.20
19930115    ,0.01
19930118   ,-0.10
19930119    ,0.32
19930120    ,0.01
19930121    ,0.16
19930122    ,0.13
19930125   ,-0.06
19930126    ,0.03
19930127    ,0.11
19930128   ,-0.16
19930129   ,-0.12
19930201   ,-0.08
19930202   ,-0.42
19930203   ,-0.06
19930204   ,-0.18
19930205   ,-0.25
19930208   ,-0.05
19930209    ,0.22
19930210   ,-0.12
19930211    ,0.00
19930212    ,0.20
19930215   ,-0.17
19930216    ,0.11
19930217    ,0.21
19930218    ,0.14
19930219    ,0.31
19930222    ,0.08
19930223    ,0.02
19930224    ,0.03
19930225    ,0.32
19930226    ,0.51
19930301   ,-0.09
19930302    ,0.33
19930303   ,-0.34
19930304    ,0.17
19930305   ,-0.10
19930308   ,-0.70
19930309   ,-0.69
19930310    ,0.06
19930311   ,-0.05
19930312   ,-0.45
19930315   ,-0.39
19930316   ,-0.17
19930317    ,0.09
19930318   ,-0.91
19930319   ,-0.50
19930322   ,-0.61
19930323   ,-0.09
19930324    ,0.19
19930325   ,-0.67
19930326   ,-1.81
19930329   ,-1.76
19930330   ,-1.10
19930331    ,0.15
19930401    ,2.06
19930402   ,-0.31
19930405   ,-2.16
19930406    ,0.00
19930407   ,-0.09
19930408   ,-0.89
19930409   ,-0.34
19930412    ,0.16
19930413    ,0.03
19930414   ,-1.07
19930415   ,-0.50
19930416   ,-0.21
19930419    ,0.41
19930420    ,0.34
19930421   ,-0.04
19930422   ,-0.18
19930423    ,0.72
19930426    ,0.08
19930427    ,0.19
19930428   ,-0.76
19930429    ,0.00
19930430   ,-0.74
19930503    ,0.00
19930504    ,0.00
19930505    ,0.00
19930506   ,-0.77
19930507   ,-0.67
19930510   ,-0.14
19930511   ,-0.42
19930512   ,-0.65
19930513    ,0.22
19930514    ,0.16
19930517    ,0.42
19930518   ,-0.02
19930519    ,0.11
19930520    ,0.08
19930521    ,0.00
19930524    ,0.04
19930525    ,0.31
19930526    ,0.46
19930527    ,1.10
19930528   ,-0.23
19930531   ,-0.84
19930601   ,-0.07
19930602   ,-0.05
19930603    ,0.78
19930604   ,-0.35
19930607   ,-0.21
19930608   ,-0.38
19930609    ,0.00
19930610   ,-0.09
19930611    ,0.34
19930614    ,0.07
19930615   ,-0.44
19930616   ,-0.58
19930617   ,-0.06
19930618   ,-0.08
19930621   ,-1.16
19930622    ,0.41
19930623    ,0.55
19930624    ,0.87
19930625    ,0.06
19930628    ,0.27
19930629   ,-0.18
19930630   ,-0.14
19930701   ,-0.06
19930702    ,0.35
19930705   ,-0.06
19930706    ,0.18
19930707   ,-0.18
19930708    ,0.35
19930709    ,0.59
19930712   ,-0.13
19930713    ,0.77
19930714    ,0.06
19930715   ,-0.06
19930716    ,0.35
19930719   ,-0.18
19930720   ,-0.25
19930721   ,-0.11
19930722   ,-0.13
19930723   ,-0.43
19930726   ,-0.14
19930727    ,0.28
19930728    ,0.21
19930729    ,0.79
19930730   ,-0.08
19930802    ,0.05
19930803    ,0.11
19930804    ,0.73
19930805   ,-0.51
19930806   ,-0.15
19930809    ,0.09
19930810    ,0.18
19930811    ,0.58
19930812    ,0.21
19930813   ,-0.24
19930816   ,-0.21
19930817   ,-0.22
19930818   ,-0.05
19930819   ,-0.27
19930820   ,-0.03
19930823   ,-0.21
19930824    ,0.22
19930825    ,0.05
19930826   ,-0.03
19930827    ,0.41
19930830    ,0.12
19930831    ,0.40
19930901    ,0.11
19930902    ,0.04
19930903   ,-0.29
19930906   ,-0.09
19930907    ,0.17
19930908   ,-0.15
19930909   ,-0.09
19930910    ,0.17
19930913   ,-0.50
19930914   ,-0.09
19930915    ,0.01
19930916   ,-0.19
19930917   ,-0.34
19930920   ,-0.43
19930921   ,-0.34
19930922   ,-0.77
19930923    ,0.00
19930924   ,-0.52
19930927    ,0.15
19930928    ,0.16
19930929    ,0.24
19930930    ,0.38
19931001    ,0.67
19931004   ,-0.01
19931005    ,0.12
19931006    ,0.40
19931007    ,0.22
19931008    ,0.35
19931011   ,-0.01
19931012   ,-0.04
19931013   ,-0.20
19931014    ,0.00
19931015    ,0.34
19931018    ,0.07
19931019   ,-0.31
19931020   ,-0.77
19931021   ,-0.68
19931022   ,-0.14
19931025   ,-0.29
19931026   ,-0.53
19931027    ,0.12
19931028    ,0.38
19931029    ,0.06
19931101    ,0.11
19931102    ,0.38
19931103   ,-0.01
19931104    ,0.46
19931105   ,-0.05
19931108   ,-0.37
19931109   ,-0.21
19931110   ,-0.52
19931111    ,0.32
19931112    ,0.60
19931115    ,0.18
19931116   ,-0.25
19931117    ,0.38
19931118   ,-0.08
19931119   ,-0.12
19931122    ,0.11
19931123    ,0.00
19931124   ,-0.58
19931125   ,-1.18
19931126   ,-0.60
19931129   ,-2.18
19931130    ,0.09
19931201    ,1.25
19931202    ,0.10
19931203    ,0.51
19931206    ,0.31
19931207    ,0.09
19931208    ,0.37
19931209   ,-0.37
19931210    ,0.67
19931213   ,-0.13
19931214   ,-0.39
19931215   ,-0.39
19931216    ,0.02
19931217    ,0.29
19931220   ,-0.02
19931221    ,0.39
19931222   ,-0.29
19931223    ,0.00
19931224    ,0.03
19931227   ,-0.08
19931228   ,-0.20
19931229   ,-0.15
19931230    ,0.02
19931231    ,0.00
19940103   ,-0.02
19940104    ,0.34
19940105   ,-0.84
19940106    ,0.28
19940107   ,-0.05
19940110   ,-0.35
19940111   ,-0.29
19940112   ,-1.10
19940113    ,0.48
19940114   ,-0.30
19940117    ,0.62
19940118    ,0.41
19940119   ,-0.62
19940120    ,0.26
19940121    ,0.71
19940124    ,0.86
19940125   ,-0.08
19940126   ,-0.55
19940127    ,0.54
19940128    ,0.18
19940131   ,-0.40
19940201   ,-0.29
19940202   ,-0.61
19940203    ,0.09
19940204   ,-0.13
19940207    ,0.44
19940208   ,-0.41
19940209    ,0.30
19940210    ,0.26
19940211    ,0.00
19940214   ,-0.14
19940215    ,0.37
19940216   ,-0.10
19940217    ,0.24
19940218    ,0.33
19940221    ,0.12
19940222    ,0.16
19940223    ,0.37
19940224    ,0.19
19940225    ,0.42
19940228    ,0.11
19940301   ,-0.35
19940302   ,-0.33
19940303   ,-0.17
19940304   ,-0.09
19940307    ,0.67
19940308   ,-0.43
19940309   ,-0.06
19940310    ,0.30
19940311    ,0.04
19940314   ,-0.10
19940315   ,-0.11
19940316   ,-0.57
19940317   ,-0.04
19940318   ,-0.06
19940321    ,0.00
19940322   ,-0.11
19940323    ,0.18
19940324    ,0.02
19940325    ,0.26
19940328    ,0.01
19940329    ,0.02
19940330    ,0.13
19940331   ,-0.15
19940401   ,-0.20
19940404    ,0.11
19940405   ,-0.20
19940406    ,0.27
19940407   ,-0.02
19940408   ,-0.25
19940411   ,-0.38
19940412    ,0.06
19940413   ,-0.25
19940414   ,-0.12
19940415   ,-0.48
19940418   ,-0.35
19940419   ,-0.06
19940420   ,-0.45
19940421    ,0.22
19940422   ,-0.48
19940425    ,0.15
19940426    ,0.14
19940427    ,0.08
19940428   ,-0.17
19940429    ,0.00
19940502    ,0.03
19940503    ,0.00
19940504    ,0.00
19940505    ,0.00
19940506    ,0.21
19940509    ,0.11
19940510    ,0.20
19940511    ,0.25
19940512   ,-0.35
19940513    ,0.11
19940516   ,-0.15
19940517    ,0.27
19940518   ,-0.20
19940519   ,-0.15
19940520   ,-0.27
19940523   ,-0.21
19940524   ,-0.29
19940525   ,-0.14
19940526   ,-0.36
19940527   ,-0.21
19940530   ,-0.14
19940531   ,-0.14
19940601    ,0.35
19940602   ,-0.17
19940603    ,0.13
19940606    ,0.11
19940607   ,-0.10
19940608   ,-0.09
19940609    ,0.00
19940610   ,-0.04
19940613   ,-0.35
19940614   ,-0.02
19940615   ,-0.21
19940616   ,-0.20
19940617    ,0.17
19940620    ,0.13
19940621   ,-0.04
19940622    ,0.43
19940623    ,0.14
19940624    ,0.01
19940627    ,0.17
19940628   ,-0.20
19940629    ,0.65
19940630    ,0.34
19940701    ,0.50
19940704    ,0.17
19940705    ,0.29
19940706    ,0.10
19940707   ,-0.18
19940708   ,-0.04
19940711   ,-0.13
19940712   ,-0.14
19940713    ,0.13
19940714    ,0.25
19940715   ,-0.09
19940718   ,-0.11
19940719    ,0.23
19940720   ,-0.03
19940721    ,0.08
19940722   ,-0.39
19940725   ,-0.96
19940726   ,-0.49
19940727   ,-0.07
19940728   ,-0.19
19940729    ,0.19
19940801    ,0.21
19940802    ,0.19
19940803    ,0.09
19940804    ,0.03
19940805   ,-0.02
19940808   ,-0.10
19940809    ,0.18
19940810   ,-0.27
19940811   ,-0.21
19940812   ,-0.15
19940815   ,-0.25
19940816   ,-0.17
19940817    ,0.25
19940818    ,0.06
19940819   ,-0.34
19940822   ,-0.39
19940823   ,-0.07
19940824   ,-0.23
19940825    ,0.01
19940826    ,0.14
19940829    ,0.01
19940830    ,0.29
19940831    ,0.36
19940901    ,0.11
19940902    ,0.31
19940905    ,0.00
19940906    ,0.00
19940907   ,-0.28
19940908   ,-0.05
19940909    ,0.11
19940912   ,-0.24
19940913    ,0.07
19940914   ,-0.25
19940915    ,0.00
19940916   ,-0.46
19940919   ,-0.20
19940920    ,0.16
19940921    ,0.37
19940922    ,0.43
19940923    ,0.00
19940926   ,-0.34
19940927    ,0.05
19940928    ,0.24
19940929    ,0.57
19940930    ,0.00
19941003    ,0.13
19941004    ,0.01
19941005    ,0.03
19941006    ,0.27
19941007    ,0.53
19941010    ,0.00
19941011    ,0.30
19941012    ,0.05
19941013    ,0.31
19941014    ,0.65
19941017    ,0.13
19941018    ,0.33
19941019   ,-0.18
19941020   ,-0.21
19941021   ,-0.02
19941024   ,-0.23
19941025   ,-0.08
19941026    ,0.19
19941027    ,0.33
19941028    ,0.26
19941031    ,0.05
19941101    ,0.52
19941102   ,-0.37
19941103    ,0.00
19941104    ,0.30
19941107   ,-0.34
19941108   ,-0.25
19941109   ,-0.16
19941110   ,-0.02
19941111    ,0.12
19941114   ,-0.19
19941115    ,0.79
19941116   ,-0.12
19941117    ,0.39
19941118    ,0.01
19941121   ,-0.48
19941122   ,-0.24
19941123    ,0.00
19941124   ,-0.68
19941125   ,-0.39
19941128    ,0.39
19941129    ,0.02
19941130   ,-0.02
19941201   ,-0.42
19941202   ,-0.38
19941205    ,0.11
19941206    ,0.00
19941207    ,0.01
19941208   ,-0.22
19941209   ,-0.13
19941212   ,-0.17
19941213   ,-0.27
19941214    ,0.03
19941215   ,-0.07
19941216    ,0.05
19941219   ,-0.01
19941220    ,0.04
19941221    ,0.10
19941222    ,0.01
19941223    ,0.00
19941226   ,-0.24
19941227    ,0.27
19941228    ,0.20
19941229    ,0.13
19941230    ,0.07
19950102    ,0.00
19950103    ,0.00
19950104    ,0.10
19950105    ,0.14
19950106    ,0.32
19950109   ,-0.03
19950110    ,0.11
19950111    ,0.09
19950112    ,0.02
19950113    ,0.09
19950116    ,0.00
19950117   ,-0.70
19950118   ,-1.70
19950119   ,-0.22
19950120   ,-0.49
19950123    ,0.03
19950124   ,-1.02
19950125   ,-0.87
19950126    ,0.00
19950127   ,-0.16
19950130   ,-3.75
19950131   ,-1.34
19950201    ,0.75
19950202    ,0.79
19950203    ,0.43
19950206    ,0.21
19950207    ,0.10
19950208    ,0.69
19950209   ,-0.10
19950210   ,-0.55
19950213    ,0.13
19950214   ,-0.07
19950215   ,-0.15
19950216   ,-0.20
19950217    ,0.12
19950220   ,-0.14
19950221    ,0.30
19950222    ,0.02
19950223    ,0.35
19950224   ,-0.12
19950227    ,0.13
19950228    ,0.17
19950301   ,-0.12
19950302   ,-0.10
19950303   ,-0.21
19950306    ,0.26
19950307    ,0.11
19950308   ,-0.18
19950309    ,0.16
19950310   ,-0.38
19950313    ,0.08
19950314   ,-0.10
19950315    ,0.33
19950316   ,-0.19
19950317   ,-0.02
19950320    ,0.38
19950321    ,0.00
19950322   ,-0.04
19950323   ,-0.34
19950324    ,0.15
19950327   ,-0.86
19950328   ,-1.62
19950329    ,0.18
19950330   ,-0.09
19950331    ,0.47
19950403   ,-0.09
19950404    ,0.21
19950405    ,0.27
19950406    ,0.24
19950407   ,-0.13
19950410   ,-0.50
19950411   ,-0.08
19950412   ,-0.10
19950413   ,-0.11
19950414    ,0.35
19950417    ,0.09
19950418   ,-0.13
19950419    ,0.05
19950420   ,-0.21
19950421   ,-0.11
19950424    ,0.07
19950425   ,-0.36
19950426    ,0.24
19950427    ,0.07
19950428    ,0.19
19950501   ,-0.26
19950502   ,-0.17
19950503    ,0.00
19950504    ,0.00
19950505    ,0.00
19950508   ,-0.16
19950509   ,-0.18
19950510    ,0.21
19950511    ,0.39
19950512   ,-0.09
19950515    ,0.52
19950516    ,0.67
19950517    ,0.17
19950518   ,-0.02
19950519    ,0.14
19950522    ,0.43
19950523    ,0.23
19950524   ,-0.12
19950525    ,0.10
19950526    ,0.04
19950529    ,0.18
19950530    ,0.20
19950531    ,0.03
19950601   ,-0.07
19950602   ,-0.42
19950605    ,0.23
19950606   ,-0.04
19950607    ,0.43
19950608    ,0.28
19950609    ,0.79
19950612    ,0.63
19950613    ,0.35
19950614   ,-0.03
19950615   ,-0.14
19950616   ,-0.78
19950619   ,-0.52
19950620    ,0.17
19950621   ,-0.21
19950622    ,0.13
19950623   ,-0.54
19950626   ,-0.62
19950627    ,0.86
19950628    ,0.36
19950629   ,-0.36
19950630   ,-0.15
19950703    ,0.28
19950704   ,-0.65
19950705   ,-0.49
19950706   ,-0.74
19950707   ,-1.07
19950710   ,-1.89
19950711    ,0.10
19950712   ,-0.74
19950713   ,-0.69
19950714   ,-0.41
19950717   ,-0.44
19950718    ,0.33
19950719    ,0.96
19950720    ,0.51
19950721   ,-0.53
19950724   ,-0.07
19950725    ,0.78
19950726    ,0.29
19950727   ,-0.53
19950728    ,0.32
19950731   ,-0.23
19950801    ,0.64
19950802   ,-0.43
19950803   ,-0.77
19950804    ,0.09
19950807   ,-0.01
19950808    ,0.08
19950809   ,-0.20
19950810   ,-0.14
19950811    ,0.06
19950814   ,-0.01
19950815   ,-0.79
19950816   ,-1.06
19950817   ,-0.30
19950818    ,0.16
19950821    ,0.05
19950822   ,-0.44
19950823    ,0.46
19950824    ,0.13
19950825   ,-0.37
19950828   ,-0.14
19950829   ,-0.66
19950830   ,-0.44
19950831    ,0.32
19950901    ,0.51
19950904   ,-0.21
19950905    ,0.34
19950906    ,0.01
19950907    ,0.18
19950908    ,0.17
19950911    ,0.08
19950912   ,-0.58
19950913    ,0.17
19950914   ,-0.12
19950915    ,0.00
19950918   ,-0.71
19950919    ,0.03
19950920   ,-0.54
19950921    ,0.24
19950922    ,0.11
19950925   ,-0.12
19950926    ,0.52
19950927    ,0.58
19950928    ,0.00
19950929    ,0.08
19951002    ,0.22
19951003    ,0.36
19951004    ,0.01
19951005   ,-0.04
19951006   ,-0.17
19951009    ,0.16
19951010    ,0.00
19951011   ,-0.48
19951012   ,-0.20
19951013    ,0.37
19951016    ,0.32
19951017   ,-0.30
19951018    ,0.70
19951019    ,0.32
19951020    ,0.26
19951023    ,0.05
19951024   ,-0.18
19951025    ,0.12
19951026   ,-0.14
19951027    ,0.47
19951030    ,0.21
19951031   ,-0.28
19951101   ,-0.01
19951102    ,0.20
19951103    ,0.00
19951106   ,-0.15
19951107    ,0.05
19951108   ,-0.13
19951109    ,0.49
19951110    ,0.04
19951113   ,-0.04
19951114   ,-0.17
19951115   ,-0.73
19951116   ,-0.06
19951117    ,0.08
19951120   ,-0.45
19951121   ,-0.60
19951122   ,-0.16
19951123    ,0.00
19951124    ,0.16
19951127   ,-0.41
19951128   ,-0.24
19951129    ,0.43
19951130   ,-0.30
19951201    ,0.02
19951204   ,-0.41
19951205   ,-0.16
